Year,Team,Name,Salary,nameFirst,nameLast,cleanFirst,cleanLast,playerID
2013,TEX,Jurickson Profar,491000,Jurickson,Profar,jurickson,profar,profaju01
2013,TEX,Leury Garcia,490000,Leury,Garcia,leury,garcia,garcile01
2013,TEX,Joe Ortiz,490000,Joe,Ortiz,joe,ortiz,ortizjo06
2014,TEX,Prince Fielder,24000000,Prince,Fielder,prince,fielder,fieldpr01
2014,TEX,Adrian Beltre,17000000,Adrian,Beltre,adrian,beltre,beltrad01
2014,TEX,Shin-Soo Choo,14000000,Shin-Soo,Choo,shinsoo,choo,choosh01
2014,TEX,Alex Rios,12500000,Alex,Rios,alex,rios,riosal01
2014,TEX,Yu Darvish,10000000,Yu,Darvish,yu,darvish,darviyu01
2014,TEX,Elvis Andrus,6475000,Elvis,Andrus,elvis,andrus,andruel01
2014,TEX,Leonys Martin,3750000,Leonys,Martin,leonys,martin,martile01
2014,TEX,Geovany Soto,3050000,Geovany,Soto,geovany,soto,sotoge01
2014,TEX,Neftali Feliz,3000000,Neftali,Feliz,neftali,feliz,felizne01
2014,TEX,Mitch Moreland,2650000,Mitch,Moreland,mitch,moreland,morelmi01
2014,TEX,Alexi Ogando,2625000,Alexi,Ogando,alexi,ogando,ogandal01
2014,TEX,Neal Cotts,2200000,Neal,Cotts,neal,cotts,cottsne01
2014,TEX,Jeff Williams,2100000,Jeff,Williams,jeff,williams,willije01
2014,TEX,J. P. Arencibia,1800000,J. P.,Arencibia,jp,arencibia,arencjp01
2014,TEX,Jason Frasor,1750000,Jason,Frasor,jason,frasor,frasoja01
2014,TEX,Donnie Murphy,825000,Donnie,Murphy,donnie,murphy,murphdo01
2014,TEX,Martin Perez,750000,Martin,Perez,martin,perez,perezma01
2014,TEX,Adam Rosales,750000,Adam,Rosales,adam,rosales,rosalad01
2014,TEX,Robbie Ross,512745,Robbie,Ross,robbie,ross,rossro01
2014,TEX,Chris Gimenez,510000,Chris,Gimenez,chris,gimenez,gimench01
2014,TEX,Robinson Chirinos,502232,Robinson,Chirinos,robinson,chirinos,chiriro01
2014,TEX,Shawn Tolleson,502082,Shawn,Tolleson,shawn,tolleson,tollesh01
2014,TEX,Michael Choice,502000,Michael,Choice,michael,choice,choicmi01
2014,TEX,Jim Adduci,501000,Jim,Adduci,jim,adduci,adducji01
2015,TEX,Prince Fielder,24000000,Prince,Fielder,prince,fielder,fieldpr01
2015,TEX,Josh Hamilton,22708749,Josh,Hamilton,josh,hamilton,hamiljo01
2015,TEX,Adrian Beltre,16000000,Adrian,Beltre,adrian,beltre,beltrad01
2015,TEX,Elvis Andrus,15000000,Elvis,Andrus,elvis,andrus,andruel01
2015,TEX,Shin-Soo Choo,14000000,Shin-Soo,Choo,shinsoo,choo,choosh01
2015,TEX,Yovani Gallardo,14000000,Yovani,Gallardo,yovani,gallardo,gallayo01
2015,TEX,Derek Holland,7400000,Derek,Holland,derek,holland,hollade01
2015,TEX,Leonys Martin,4750000,Leonys,Martin,leonys,martin,martile01
2015,TEX,Neftali Feliz,4125000,Neftali,Feliz,neftali,feliz,felizne01
2015,TEX,Colby Lewis,4000000,Colby,Lewis,colby,lewis,lewisco01
2015,TEX,Ross Detwiler,3450000,Ross,Detwiler,ross,detwiler,detwiro01
2015,TEX,Mitch Moreland,2950000,Mitch,Moreland,mitch,moreland,morelmi01
2015,TEX,Kyuji Fujikawa,1100000,Kyuji,Fujikawa,kyuji,fujikawa,fujikky01
2015,TEX,Martin Perez,1000000,Martin,Perez,martin,perez,perezma01
